Category,Quote,Author
knowledge,"The suppression of uncomfortable ideasmay be common in religion and politics, but it is not the path to knowledge; it has no placein the endeavor of science.",Carl Sagan
life,"The suppression of uncomfortable ideasmay be common in religion and politics, but it is not the path to knowledge; it has no placein the endeavor of science.",Carl Sagan
politics,"The suppression of uncomfortable ideasmay be common in religion and politics, but it is not the path to knowledge; it has no placein the endeavor of science.",Carl Sagan
religion,"The suppression of uncomfortable ideasmay be common in religion and politics, but it is not the path to knowledge; it has no placein the endeavor of science.",Carl Sagan
space,"The suppression of uncomfortable ideasmay be common in religion and politics, but it is not the path to knowledge; it has no placein the endeavor of science.",Carl Sagan
skepticism,The truth may be puzzling. It may take some work to grapple with. It may be counterintuitive. It may contradict deeply held prejudices. It may not be consonant with what we desperately want to be true. But our preferences do not determine what's true.,Carl Sagan
truth,The truth may be puzzling. It may take some work to grapple with. It may be counterintuitive. It may contradict deeply held prejudices. It may not be consonant with what we desperately want to be true. But our preferences do not determine what's true.,Carl Sagan
children,The visions we offer our children shape the future. It _matters_ what those visions are. Often they become self-fulfilling prophecies. Dreams are maps.,Carl Sagan
dreams,The visions we offer our children shape the future. It _matters_ what those visions are. Often they become self-fulfilling prophecies. Dreams are maps.,Carl Sagan
future,The visions we offer our children shape the future. It _matters_ what those visions are. Often they become self-fulfilling prophecies. Dreams are maps.,Carl Sagan
hope,The visions we offer our children shape the future. It _matters_ what those visions are. Often they become self-fulfilling prophecies. Dreams are maps.,Carl Sagan
science,"The way to find out about our place in the universe is by examining the universe and by examining ourselves - without preconceptions, with as unbiased a mind as we can muster.",Carl Sagan
error-and-truth,There are many hypotheses in science which are wrong. That’s perfectly all right: it’s the aperture to finding out what’s right. Science is a self-correcting process.,Carl Sagan
science,There are many hypotheses in science which are wrong. That’s perfectly all right: it’s the aperture to finding out what’s right. Science is a self-correcting process.,Carl Sagan
science,"There are no forbidden questions in science, no matters too sensitive or delicate to be probed, no sacred truths.",Carl Sagan
education,"There is much that science doesn't understand, many mysteries still to be resolved. In a Universe tens of billions of light-years across and some ten or fifteen billion years old, this may be the case forever. We are constantly stumbling on new surprises.",Carl Sagan
learning,"There is much that science doesn't understand, many mysteries still to be resolved. In a Universe tens of billions of light-years across and some ten or fifteen billion years old, this may be the case forever. We are constantly stumbling on new surprises.",Carl Sagan
science,"There is much that science doesn't understand, many mysteries still to be resolved. In a Universe tens of billions of light-years across and some ten or fifteen billion years old, this may be the case forever. We are constantly stumbling on new surprises.",Carl Sagan
earth,"These days there seems to be nowhere left to explore, at least on the land area of the Earth. Victims of their very success, the explorers now pretty much stay home.",Carl Sagan
exploration,"These days there seems to be nowhere left to explore, at least on the land area of the Earth. Victims of their very success, the explorers now pretty much stay home.",Carl Sagan
science,"These days there seems to be nowhere left to explore, at least on the land area of the Earth. Victims of their very success, the explorers now pretty much stay home.",Carl Sagan
carl-sagan,"Those at too great a distance may, I am well are, mistake ignorance for perspective.",Carl Sagan
debate,"Those at too great a distance may, I am well are, mistake ignorance for perspective.",Carl Sagan
education,"Those at too great a distance may, I am well are, mistake ignorance for perspective.",Carl Sagan
ignorance,"Those at too great a distance may, I am well are, mistake ignorance for perspective.",Carl Sagan
informed,"Those at too great a distance may, I am well are, mistake ignorance for perspective.",Carl Sagan
knowledge,"Those at too great a distance may, I am well are, mistake ignorance for perspective.",Carl Sagan
perspective,"Those at too great a distance may, I am well are, mistake ignorance for perspective.",Carl Sagan
rational,"Those at too great a distance may, I am well are, mistake ignorance for perspective.",Carl Sagan
ellie-arroway,"We all have a thirst for wonder. It's a deeply human quality. Science and religion are both bound up with it. What I'm saying is, you don't have to make stories up, you don't have to exaggerate. There's wonder and awe enough in the real world. Nature's a lot better at inventing wonders than we are.",Carl Sagan
freethinking,"We all have a thirst for wonder. It's a deeply human quality. Science and religion are both bound up with it. What I'm saying is, you don't have to make stories up, you don't have to exaggerate. There's wonder and awe enough in the real world. Nature's a lot better at inventing wonders than we are.",Carl Sagan
religion,"We all have a thirst for wonder. It's a deeply human quality. Science and religion are both bound up with it. What I'm saying is, you don't have to make stories up, you don't have to exaggerate. There's wonder and awe enough in the real world. Nature's a lot better at inventing wonders than we are.",Carl Sagan
science,"We all have a thirst for wonder. It's a deeply human quality. Science and religion are both bound up with it. What I'm saying is, you don't have to make stories up, you don't have to exaggerate. There's wonder and awe enough in the real world. Nature's a lot better at inventing wonders than we are.",Carl Sagan
spirituality,"We all have a thirst for wonder. It's a deeply human quality. Science and religion are both bound up with it. What I'm saying is, you don't have to make stories up, you don't have to exaggerate. There's wonder and awe enough in the real world. Nature's a lot better at inventing wonders than we are.",Carl Sagan
cosmos,We are a way for the cosmos to know itself.,Carl Sagan
science,We are a way for the cosmos to know itself.,Carl Sagan
thought-provoking,We are a way for the cosmos to know itself.,Carl Sagan
science,We are all star stuff.,Carl Sagan
stars,We are all star stuff.,Carl Sagan
carl-sagan,We are star stuff harvesting sunlight.,Carl Sagan
humans,We are star stuff harvesting sunlight.,Carl Sagan
life,We are star stuff harvesting sunlight.,Carl Sagan
science,We are star stuff harvesting sunlight.,Carl Sagan
solar-power,We are star stuff harvesting sunlight.,Carl Sagan
star-stuff,We are star stuff harvesting sunlight.,Carl Sagan
science,We are star stuff which has taken its destiny into its own hands.,Carl Sagan
atheism,"We can judge our progress by the courage of our questions and the depth of our answers, our willingness to embrace what is true rather than what feels good.",Carl Sagan
science,"We can judge our progress by the courage of our questions and the depth of our answers, our willingness to embrace what is true rather than what feels good.",Carl Sagan
science,We can't help it. Life looks for life.,Carl Sagan
cosmology,"We have examined the universe in space and seen that we live on a mote of dust circling a humdrum star in the remotest corner of an obscure galaxy. And if we are a speck in the immensity of space, we also occupy an instant in the expanse of ages.",Carl Sagan
science,"We have examined the universe in space and seen that we live on a mote of dust circling a humdrum star in the remotest corner of an obscure galaxy. And if we are a speck in the immensity of space, we also occupy an instant in the expanse of ages.",Carl Sagan
perspective,We must understand the Cosmos as it is and not confuse how it is with how we wish it to be.,Carl Sagan
science,We must understand the Cosmos as it is and not confuse how it is with how we wish it to be.,Carl Sagan
understanding,We must understand the Cosmos as it is and not confuse how it is with how we wish it to be.,Carl Sagan
knowledge,We've arranged a civilization in which most crucial elements profoundly depend on science and technology. We have also arranged things so that almost no one understands science and technology. This is a prescription for disaster.,Carl Sagan
science,We've arranged a civilization in which most crucial elements profoundly depend on science and technology. We have also arranged things so that almost no one understands science and technology. This is a prescription for disaster.,Carl Sagan
technology,We've arranged a civilization in which most crucial elements profoundly depend on science and technology. We have also arranged things so that almost no one understands science and technology. This is a prescription for disaster.,Carl Sagan
nature,"What a marvelous cooperative arrangement - plants and animals each inhaling each other's exhalations, a kind of planet-wide mutual mouth-to-stoma resuscitation, the entire elegant cycle powered by a star 150 million kilometers away.",Carl Sagan
science,"What a marvelous cooperative arrangement - plants and animals each inhaling each other's exhalations, a kind of planet-wide mutual mouth-to-stoma resuscitation, the entire elegant cycle powered by a star 150 million kilometers away.",Carl Sagan
astronomy,"When we look up at night and view the stars, everything we see is shinning because of distant nuclear fusion.",Carl Sagan
night-sky,"When we look up at night and view the stars, everything we see is shinning because of distant nuclear fusion.",Carl Sagan
science,"When we look up at night and view the stars, everything we see is shinning because of distant nuclear fusion.",Carl Sagan
stars,"When we look up at night and view the stars, everything we see is shinning because of distant nuclear fusion.",Carl Sagan
agnosticism,"Who is more humble? The scientist who looks at the universe with an open mind and accepts whatever the universe has to teach us, or somebody who says everything in this book must be considered the literal truth and never mind the fallibility of all the human beings involved?",Carl Sagan
humility,"Who is more humble? The scientist who looks at the universe with an open mind and accepts whatever the universe has to teach us, or somebody who says everything in this book must be considered the literal truth and never mind the fallibility of all the human beings involved?",Carl Sagan
science,"Who is more humble? The scientist who looks at the universe with an open mind and accepts whatever the universe has to teach us, or somebody who says everything in this book must be considered the literal truth and never mind the fallibility of all the human beings involved?",Carl Sagan
skepticism,"Who is more humble? The scientist who looks at the universe with an open mind and accepts whatever the universe has to teach us, or somebody who says everything in this book must be considered the literal truth and never mind the fallibility of all the human beings involved?",Carl Sagan
truth,"Who is more humble? The scientist who looks at the universe with an open mind and accepts whatever the universe has to teach us, or somebody who says everything in this book must be considered the literal truth and never mind the fallibility of all the human beings involved?",Carl Sagan
science,"Would not a rational society spend more on understanding and preventing, than on preparing for, the next war?",Carl Sagan
war,"Would not a rational society spend more on understanding and preventing, than on preparing for, the next war?",Carl Sagan
science,You can get into a habit of thought in which you enjoy making fun of all those other people who don't see things as clearly as you do. We have to guard carefully against it.,Carl Sagan
skepticism,You can get into a habit of thought in which you enjoy making fun of all those other people who don't see things as clearly as you do. We have to guard carefully against it.,Carl Sagan
agnostic,You could just as well say that an agnostic is a deeply religious person with at least a rudimentary knowledge of human fallibility.,Carl Sagan
religion,You could just as well say that an agnostic is a deeply religious person with at least a rudimentary knowledge of human fallibility.,Carl Sagan
skepticism,You could just as well say that an agnostic is a deeply religious person with at least a rudimentary knowledge of human fallibility.,Carl Sagan
children,A baby is God's opinion that the world should go on.,Carl Sandburg
hope,A baby is God's opinion that the world should go on.,Carl Sandburg
religion,A baby is God's opinion that the world should go on.,Carl Sandburg
books,A book is never a masterpiece: it becomes one.,Carl Sandburg
happiness,Come clean with a child heartLaugh as peaches in the summer windLet rain on a house roof be a songLet the writing on your facebe a smell of apple orchards on late June.,Carl Sandburg
life,Come clean with a child heartLaugh as peaches in the summer windLet rain on a house roof be a songLet the writing on your facebe a smell of apple orchards on late June.,Carl Sandburg
poetry,"Gather the stars if you wish it soGather the songs and keep them.Gather the faces of women.Gather for keeping years and years.And then...Loosen your hands, let go and say good-bye.Let the stars and songs go.Let the faces and years go.Loosen your hands and say good-bye.",Carl Sandburg
ambition,I'm either going to be a writer or a bum.,Carl Sandburg
career,I'm either going to be a writer or a bum.,Carl Sandburg
writer,I'm either going to be a writer or a bum.,Carl Sandburg
writing,I'm either going to be a writer or a bum.,Carl Sandburg
poetry,I've written some poetry I don't understand myself.,Carl Sandburg
crying,"Life is like an onion; you peel it off one layer at a time, and sometimes you weep.",Carl Sandburg
life,"Life is like an onion; you peel it off one layer at a time, and sometimes you weep.",Carl Sandburg
simile,"Life is like an onion; you peel it off one layer at a time, and sometimes you weep.",Carl Sandburg
poetry,Poetry is an echo asking a shadow to dance.,Carl Sandburg
poetry,Poetry is the synthesis of hyacinths and biscuits.,Carl Sandburg
wisdom,Read the dictionary from A to Izzard today.Get a vocabulary. Brush up on your diction.See whether wisdom is just a lot of language.,Carl Sandburg
wisdom,"Tell no man anything, for no man listensYet hold thy lips ready to speak.",Carl Sandburg
time,"Time is the coin of your life. It is the only coin you have, and only you can determine how it will be spent. Be careful lest you let other people spend it for you.",Carl Sandburg
time,Time is the most valuable coin in your life. You and you alone will determine how that coin will be spent. Be careful that you do not let other people spend it for you.,Carl Sandburg
time-management,Time is the most valuable coin in your life. You and you alone will determine how that coin will be spent. Be careful that you do not let other people spend it for you.,Carl Sandburg
knowledge,"Here, on the edge of what we know, in contact with the ocean of the unknown, shines the mystery and beauty of the world. And it’s breathtaking.",Carlo Rovelli
life,"Here, on the edge of what we know, in contact with the ocean of the unknown, shines the mystery and beauty of the world. And it’s breathtaking.",Carlo Rovelli
philosophy,"Here, on the edge of what we know, in contact with the ocean of the unknown, shines the mystery and beauty of the world. And it’s breathtaking.",Carlo Rovelli
physics,"Here, on the edge of what we know, in contact with the ocean of the unknown, shines the mystery and beauty of the world. And it’s breathtaking.",Carlo Rovelli
relationships,"Once again, the world seems to be less about objects than about interactive relationships.",Carlo Rovelli
science,"Once again, the world seems to be less about objects than about interactive relationships.",Carlo Rovelli
atoms,"The atoms of our body, as well, flow in and away from us. We, like waves and like all objects, are a flux of events; we are processes, for a brief time monotonous.",Carlo Rovelli
being,"The atoms of our body, as well, flow in and away from us. We, like waves and like all objects, are a flux of events; we are processes, for a brief time monotonous.",Carlo Rovelli
life,"The atoms of our body, as well, flow in and away from us. We, like waves and like all objects, are a flux of events; we are processes, for a brief time monotonous.",Carlo Rovelli
matter,"The atoms of our body, as well, flow in and away from us. We, like waves and like all objects, are a flux of events; we are processes, for a brief time monotonous.",Carlo Rovelli
processes,"The atoms of our body, as well, flow in and away from us. We, like waves and like all objects, are a flux of events; we are processes, for a brief time monotonous.",Carlo Rovelli
reality,"The atoms of our body, as well, flow in and away from us. We, like waves and like all objects, are a flux of events; we are processes, for a brief time monotonous.",Carlo Rovelli
science,"The atoms of our body, as well, flow in and away from us. We, like waves and like all objects, are a flux of events; we are processes, for a brief time monotonous.",Carlo Rovelli
waves,"The atoms of our body, as well, flow in and away from us. We, like waves and like all objects, are a flux of events; we are processes, for a brief time monotonous.",Carlo Rovelli
time,Time is information we don't have. Time is our ignorance.,Carlo Rovelli
knowledge,What does what we know or don't know have to do with the laws that govern the world?,Carlo Rovelli
physics,What does what we know or don't know have to do with the laws that govern the world?,Carlo Rovelli
death,"In a world where death is the hunter, my friend, there is no time for regrets or doubts. There is only time for decisions.",Carlos Castañeda
inspirational,"Seek and see all the marvels around you. You will get tired of looking at yourself alone, and that fatigue will make you deaf and blind to everything else. - Don Juan.",Carlos Castañeda
mindfulness,"Seek and see all the marvels around you. You will get tired of looking at yourself alone, and that fatigue will make you deaf and blind to everything else. - Don Juan.",Carlos Castañeda
wisdom,"Seek and see all the marvels around you. You will get tired of looking at yourself alone, and that fatigue will make you deaf and blind to everything else. - Don Juan.",Carlos Castañeda
death,"The dying sun will glow on you without burning, as it has done today. The wind will be soft and mellow and your hilltop will tremble. As you reach the end of your dance you will look at the sun, for you will never see it again in waking or in dreaming, and then your death will point to the south. To the vastness.",Carlos Castañeda
happiness,"The trick is in what one emphasizes. We either make ourselves miserable, or we make ourselves happy. The amount of work is the same.",Carlos Castañeda
self-determination,"The trick is in what one emphasizes. We either make ourselves miserable, or we make ourselves happy. The amount of work is the same.",Carlos Castañeda
self-reliance,"The trick is in what one emphasizes. We either make ourselves miserable, or we make ourselves happy. The amount of work is the same.",Carlos Castañeda
confidence,"We either make ourselves miserable, or we make ourselves strong. The amount of work is the same.",Carlos Castañeda
inspirational,"We either make ourselves miserable, or we make ourselves strong. The amount of work is the same.",Carlos Castañeda
god,"Cristo quería a los justos, habitaba las buenas conciencias, pertenecía a los hombres de bien, a la gente decente, a las buenas reputaciones. ¡Que cargara el diablo con los humildes, con los pecadores, con los abandonados, con los rebeldes, con los miserables, con los que quedaban al margen del orden aceptado!",Carlos Fuentes
religion,"Cristo quería a los justos, habitaba las buenas conciencias, pertenecía a los hombres de bien, a la gente decente, a las buenas reputaciones. ¡Que cargara el diablo con los humildes, con los pecadores, con los abandonados, con los rebeldes, con los miserables, con los que quedaban al margen del orden aceptado!",Carlos Fuentes
carlos,"Don't classify me, read me. I'm a writer, not a genre.",Carlos Fuentes
fuentes,"Don't classify me, read me. I'm a writer, not a genre.",Carlos Fuentes
genre,"Don't classify me, read me. I'm a writer, not a genre.",Carlos Fuentes
writing,"Don't classify me, read me. I'm a writer, not a genre.",Carlos Fuentes
hope,"I dalje verujem da Sunce izlazi svakoga dana i da svako novo Sunce najavljuje novi dan;dan koji je juče bio budućnost. I dalje verujem da će današnji dan, u trenutku zatvaranja jedne stranice vremena, obećati sutra – ranije nepredvidivo, kasnije neponovljivo.",Carlos Fuentes
new-day,"I dalje verujem da Sunce izlazi svakoga dana i da svako novo Sunce najavljuje novi dan;dan koji je juče bio budućnost. I dalje verujem da će današnji dan, u trenutku zatvaranja jedne stranice vremena, obećati sutra – ranije nepredvidivo, kasnije neponovljivo.",Carlos Fuentes
books,"One wants to tell a story, like Scheherezade, in order not to die. It's one of the oldest urges in mankind. It's a way of stalling death.",Carlos Fuentes
death,"One wants to tell a story, like Scheherezade, in order not to die. It's one of the oldest urges in mankind. It's a way of stalling death.",Carlos Fuentes
writing,"One wants to tell a story, like Scheherezade, in order not to die. It's one of the oldest urges in mankind. It's a way of stalling death.",Carlos Fuentes
truth,"A woman has to be intelligent, have charm, a sense of humor, and be kind. It's the same qualities I require from a man.",Catherine Deneuve
funny,"Do you ever take a holiday? Like, do any of you just wake up and think ‘Today feels like a pyjama day.’? or is it always, ‘Today is a good day for murdering and stalking.’?",Catherine Doyle
humor,"Do you ever take a holiday? Like, do any of you just wake up and think ‘Today feels like a pyjama day.’? or is it always, ‘Today is a good day for murdering and stalking.’?",Catherine Doyle
sophie-gracewell,"Do you ever take a holiday? Like, do any of you just wake up and think ‘Today feels like a pyjama day.’? or is it always, ‘Today is a good day for murdering and stalking.’?",Catherine Doyle
life,"Do you think you wear a mask?’‘I’m wearing one right now.’ Valentino smiled softly. ‘We both are.’‘It’s a sad thought.’‘Yes,’ he said. ‘But sometimes I wonder about the alternative. Imagine if we had no secrets, no respite from the truth. What if everything was laid bare the moment we introduced ourselves?",Catherine Doyle
masks,"Do you think you wear a mask?’‘I’m wearing one right now.’ Valentino smiled softly. ‘We both are.’‘It’s a sad thought.’‘Yes,’ he said. ‘But sometimes I wonder about the alternative. Imagine if we had no secrets, no respite from the truth. What if everything was laid bare the moment we introduced ourselves?",Catherine Doyle
philosophy,"Do you think you wear a mask?’‘I’m wearing one right now.’ Valentino smiled softly. ‘We both are.’‘It’s a sad thought.’‘Yes,’ he said. ‘But sometimes I wonder about the alternative. Imagine if we had no secrets, no respite from the truth. What if everything was laid bare the moment we introduced ourselves?",Catherine Doyle
truth,"Do you think you wear a mask?’‘I’m wearing one right now.’ Valentino smiled softly. ‘We both are.’‘It’s a sad thought.’‘Yes,’ he said. ‘But sometimes I wonder about the alternative. Imagine if we had no secrets, no respite from the truth. What if everything was laid bare the moment we introduced ourselves?",Catherine Doyle
heart,"I knew I couldn’t trust my illogical heart, and that meant I had to do everything in my power to stay away from him so I wouldn’t have to.",Catherine Doyle
love,"I knew I couldn’t trust my illogical heart, and that meant I had to do everything in my power to stay away from him so I wouldn’t have to.",Catherine Doyle
romance,"I knew I couldn’t trust my illogical heart, and that meant I had to do everything in my power to stay away from him so I wouldn’t have to.",Catherine Doyle
trust,"I knew I couldn’t trust my illogical heart, and that meant I had to do everything in my power to stay away from him so I wouldn’t have to.",Catherine Doyle
funny,"Maybe you’re not so bad after all.’He leant across the seat, jabbing his finger in the air. ‘If you tell anyone, I’ll deny it. I have a reputation to uphold, you know.",Catherine Doyle
love,"Maybe you’re not so bad after all.’He leant across the seat, jabbing his finger in the air. ‘If you tell anyone, I’ll deny it. I have a reputation to uphold, you know.",Catherine Doyle
luca-falcone,"Maybe you’re not so bad after all.’He leant across the seat, jabbing his finger in the air. ‘If you tell anyone, I’ll deny it. I have a reputation to uphold, you know.",Catherine Doyle
sophie-gracewell,"Maybe you’re not so bad after all.’He leant across the seat, jabbing his finger in the air. ‘If you tell anyone, I’ll deny it. I have a reputation to uphold, you know.",Catherine Doyle
death,"You can’t avoid the inevitability of death. It comes at you one way or another, and takes us all to the same place in the end. To apologize for it is to apologize for the sun shining or the rain falling. It is what it is.",Catherine Doyle
valentino,"You can’t avoid the inevitability of death. It comes at you one way or another, and takes us all to the same place in the end. To apologize for it is to apologize for the sun shining or the rain falling. It is what it is.",Catherine Doyle
dissent,Proclaim the truth and do not be silent through fear.,Catherine of Siena
fear,Proclaim the truth and do not be silent through fear.,Catherine of Siena
freedom-of-speech,Proclaim the truth and do not be silent through fear.,Catherine of Siena
truth,Proclaim the truth and do not be silent through fear.,Catherine of Siena
truth-telling,Proclaim the truth and do not be silent through fear.,Catherine of Siena
inspirational,"The soul is in God and God in the soul, just as the fish is in the sea and the sea in the fish.",Catherine of Siena
life,"Every luxury must be paid for, and everything is a luxury, starting with being in this world.",Cesare Pavese
luxury,"Every luxury must be paid for, and everything is a luxury, starting with being in this world.",Cesare Pavese
destiny,"From someone who doesn't want to share your destiny, you should neither accept a cigarette.",Cesare Pavese
relationships,"From someone who doesn't want to share your destiny, you should neither accept a cigarette.",Cesare Pavese
books,The words that strike us are those that awake an echo in a zone we have already made our own—the place where we live—and the vibration enables us to find fresh starting points within ourselves.,Cesare Pavese
literature,The words that strike us are those that awake an echo in a zone we have already made our own—the place where we live—and the vibration enables us to find fresh starting points within ourselves.,Cesare Pavese
reading,The words that strike us are those that awake an echo in a zone we have already made our own—the place where we live—and the vibration enables us to find fresh starting points within ourselves.,Cesare Pavese
words,The words that strike us are those that awake an echo in a zone we have already made our own—the place where we live—and the vibration enables us to find fresh starting points within ourselves.,Cesare Pavese
inspirational,"We do not remember days, we remember moments.",Cesare Pavese
thought-provoking,"We do not remember days, we remember moments.",Cesare Pavese
books,"A book is a garden, an orchard, a storehouse, a party, a company by the way, a counselor, a multitude of counselors.",Charles Baudelaire
garden,"A book is a garden, an orchard, a storehouse, a party, a company by the way, a counselor, a multitude of counselors.",Charles Baudelaire
reading,"A book is a garden, an orchard, a storehouse, a party, a company by the way, a counselor, a multitude of counselors.",Charles Baudelaire
poetry,"Always be a poet, even in prose.",Charles Baudelaire
prose,"Always be a poet, even in prose.",Charles Baudelaire
writing,"Always be a poet, even in prose.",Charles Baudelaire
glazier,"And, drunk with my own madness, I shouted at him furiously, ""Make life beautiful! Make life beautiful!",Charles Baudelaire
humor,"And, drunk with my own madness, I shouted at him furiously, ""Make life beautiful! Make life beautiful!",Charles Baudelaire
insane,"And, drunk with my own madness, I shouted at him furiously, ""Make life beautiful! Make life beautiful!",Charles Baudelaire
philosophy,"And, drunk with my own madness, I shouted at him furiously, ""Make life beautiful! Make life beautiful!",Charles Baudelaire
poetry,"And, drunk with my own madness, I shouted at him furiously, ""Make life beautiful! Make life beautiful!",Charles Baudelaire
poetry,Any healthy man can go without food for two days-but not without poetry.,Charles Baudelaire
art,"He possessed the logic of all good intentions and a knowledge of all the tricks of his trade, and yet he never succeeded at anything, because he believed too much in the impossible. Surprising? Why so? He was forever in the act of conceiving it!",Charles Baudelaire
creativity,"He possessed the logic of all good intentions and a knowledge of all the tricks of his trade, and yet he never succeeded at anything, because he believed too much in the impossible. Surprising? Why so? He was forever in the act of conceiving it!",Charles Baudelaire
failure,"He possessed the logic of all good intentions and a knowledge of all the tricks of his trade, and yet he never succeeded at anything, because he believed too much in the impossible. Surprising? Why so? He was forever in the act of conceiving it!",Charles Baudelaire
fantasy,"He possessed the logic of all good intentions and a knowledge of all the tricks of his trade, and yet he never succeeded at anything, because he believed too much in the impossible. Surprising? Why so? He was forever in the act of conceiving it!",Charles Baudelaire
impossible,"He possessed the logic of all good intentions and a knowledge of all the tricks of his trade, and yet he never succeeded at anything, because he believed too much in the impossible. Surprising? Why so? He was forever in the act of conceiving it!",Charles Baudelaire
writers,"He possessed the logic of all good intentions and a knowledge of all the tricks of his trade, and yet he never succeeded at anything, because he believed too much in the impossible. Surprising? Why so? He was forever in the act of conceiving it!",Charles Baudelaire
writing,"He possessed the logic of all good intentions and a knowledge of all the tricks of his trade, and yet he never succeeded at anything, because he believed too much in the impossible. Surprising? Why so? He was forever in the act of conceiving it!",Charles Baudelaire
curiosity,"I set out to discover the why of it, and to transform my pleasure into knowledge.",Charles Baudelaire
knowledge,"I set out to discover the why of it, and to transform my pleasure into knowledge.",Charles Baudelaire
pleasure,"I set out to discover the why of it, and to transform my pleasure into knowledge.",Charles Baudelaire
charles-baudelaire,"If rape or arson, poison or the knifeHas wove no pleasing patterns in the stuffOf this drab canvas we accept as life -It is because we are not bold enough!",Charles Baudelaire
debauchery,"If rape or arson, poison or the knifeHas wove no pleasing patterns in the stuffOf this drab canvas we accept as life -It is because we are not bold enough!",Charles Baudelaire
decadence,"If rape or arson, poison or the knifeHas wove no pleasing patterns in the stuffOf this drab canvas we accept as life -It is because we are not bold enough!",Charles Baudelaire
poetry,"If rape or arson, poison or the knifeHas wove no pleasing patterns in the stuffOf this drab canvas we accept as life -It is because we are not bold enough!",Charles Baudelaire
literature,"If the word doesn't exist, invent it; but first be sure it doesn't exist.",Charles Baudelaire
words,"If the word doesn't exist, invent it; but first be sure it doesn't exist.",Charles Baudelaire
writing,"If the word doesn't exist, invent it; but first be sure it doesn't exist.",Charles Baudelaire
moon,"Il était tard; ainsi qu'une médaille neuveLa pleine lune s'étalait,Et la solennité de la nuit, comme un fleuveSur Paris dormant ruisselait.",Charles Baudelaire
night,"Il était tard; ainsi qu'une médaille neuveLa pleine lune s'étalait,Et la solennité de la nuit, comme un fleuveSur Paris dormant ruisselait.",Charles Baudelaire
paris,"Il était tard; ainsi qu'une médaille neuveLa pleine lune s'étalait,Et la solennité de la nuit, comme un fleuveSur Paris dormant ruisselait.",Charles Baudelaire
poetry,"Il était tard; ainsi qu'une médaille neuveLa pleine lune s'étalait,Et la solennité de la nuit, comme un fleuveSur Paris dormant ruisselait.",Charles Baudelaire
inspirational,Inspiration comes of working every day.,Charles Baudelaire
writing,Inspiration comes of working every day.,Charles Baudelaire
game,Life has but one true charm: the charm of the game. But what if we’re indifferent to whether we win or lose?,Charles Baudelaire
life,Life has but one true charm: the charm of the game. But what if we’re indifferent to whether we win or lose?,Charles Baudelaire
death,"My love, do you recall the object which we saw,That fair, sweet, summer morn!At a turn in the path a foul carcassOn a gravel strewn bed,Its legs raised in the air, like a lustful woman,Burning and dripping with poisons,Displayed in a shameless, nonchalant wayIts belly, swollen with gases.",Charles Baudelaire
poison,"My love, do you recall the object which we saw,That fair, sweet, summer morn!At a turn in the path a foul carcassOn a gravel strewn bed,Its legs raised in the air, like a lustful woman,Burning and dripping with poisons,Displayed in a shameless, nonchalant wayIts belly, swollen with gases.",Charles Baudelaire
wantonness,"My love, do you recall the object which we saw,That fair, sweet, summer morn!At a turn in the path a foul carcassOn a gravel strewn bed,Its legs raised in the air, like a lustful woman,Burning and dripping with poisons,Displayed in a shameless, nonchalant wayIts belly, swollen with gases.",Charles Baudelaire
woman,"My love, do you recall the object which we saw,That fair, sweet, summer morn!At a turn in the path a foul carcassOn a gravel strewn bed,Its legs raised in the air, like a lustful woman,Burning and dripping with poisons,Displayed in a shameless, nonchalant wayIts belly, swollen with gases.",Charles Baudelaire
god,On peut chercher dans Dieu le complice et l'ami qui manquent toujours. Dieu est l'éternel confident dans cette tragédie dont chacun est le héros.,Charles Baudelaire
drunk,"One should always be drunk. That's all that matters...But with what? With wine, with poetry, or with virtue, as you chose. But get drunk.",Charles Baudelaire
poetry,"One should always be drunk. That's all that matters...But with what? With wine, with poetry, or with virtue, as you chose. But get drunk.",Charles Baudelaire
virtue,"One should always be drunk. That's all that matters...But with what? With wine, with poetry, or with virtue, as you chose. But get drunk.",Charles Baudelaire
wine,"One should always be drunk. That's all that matters...But with what? With wine, with poetry, or with virtue, as you chose. But get drunk.",Charles Baudelaire
art,The beautiful is always bizarre.,Charles Baudelaire
baudelaire,The beautiful is always bizarre.,Charles Baudelaire
beauty,The beautiful is always bizarre.,Charles Baudelaire
life,The beautiful is always bizarre.,Charles Baudelaire
bible,"The greatest trick the Devil ever pulled was convincing the world he didn’t exist""—Charles Baudelaire ""The second greatest trick the Devil ever pulled was convincing the world he is the good guy""—Ken Ammi.",Charles Baudelaire
devil,"The greatest trick the Devil ever pulled was convincing the world he didn’t exist""—Charles Baudelaire ""The second greatest trick the Devil ever pulled was convincing the world he is the good guy""—Ken Ammi.",Charles Baudelaire
god,"The greatest trick the Devil ever pulled was convincing the world he didn’t exist""—Charles Baudelaire ""The second greatest trick the Devil ever pulled was convincing the world he is the good guy""—Ken Ammi.",Charles Baudelaire
satan,"The greatest trick the Devil ever pulled was convincing the world he didn’t exist""—Charles Baudelaire ""The second greatest trick the Devil ever pulled was convincing the world he is the good guy""—Ken Ammi.",Charles Baudelaire
theology,"The greatest trick the Devil ever pulled was convincing the world he didn’t exist""—Charles Baudelaire ""The second greatest trick the Devil ever pulled was convincing the world he is the good guy""—Ken Ammi.",Charles Baudelaire
